frame,class,conf,x1,y1,x2,y2
301,0,0.3611,783,261,804,282
302,0,0.7930,774,252,797,275
303,0,0.7666,767,243,790,267
304,0,0.6807,761,237,783,260
305,0,0.6909,753,231,776,254
306,0,0.7070,740,225,759,245
308,0,0.1356,726,215,744,236
309,0,0.2620,720,215,741,234
311,0,0.2013,706,215,725,234
312,0,0.2007,706,215,725,234
314,0,0.2524,695,224,710,240
316,0,0.7358,681,229,702,254
317,0,0.4338,675,238,695,259
318,0,0.1677,669,245,687,264
319,0,0.3098,1873,714,1912,753
320,0,0.7827,654,258,674,278
320,0,0.3792,1875,712,1916,754
321,0,0.4468,1875,712,1916,754
321,0,0.1666,649,269,669,288
322,0,0.6562,641,278,662,297
322,0,0.3630,1871,717,1908,754
323,0,0.4758,1863,717,1902,753
323,0,0.2323,633,285,658,310
324,0,0.8057,627,300,655,326
324,0,0.4844,1860,719,1895,755
325,0,0.7139,618,330,639,351
326,0,0.3530,615,344,636,366
327,0,0.4658,609,358,630,381
328,0,0.7969,601,375,624,398
329,0,0.7432,596,388,618,412
330,0,0.2335,592,406,615,430
331,0,0.2314,592,406,615,430
332,0,0.5010,612,417,637,438
333,0,0.3667,636,421,661,444
334,0,0.6187,656,428,680,452
335,0,0.3347,680,430,700,450
336,0,0.7261,701,437,723,459
337,0,0.7090,718,443,739,462
338,0,0.6860,742,449,761,465
340,0,0.7070,776,466,795,484
341,0,0.5195,795,478,812,493
342,0,0.1968,812,486,830,504
343,0,0.3049,827,493,845,511
344,0,0.6226,859,515,877,533
345,0,0.4587,873,526,893,546
347,0,0.3440,1867,715,1915,763
348,0,0.5000,1879,718,1918,757
349,0,0.3728,1881,705,1920,752
350,0,0.4006,1881,705,1920,752
353,0,0.7324,935,493,951,508
354,0,0.4941,942,478,959,496
354,0,0.4707,1863,702,1917,756
355,0,0.3008,1862,702,1911,758
355,0,0.2805,946,467,964,483
357,0,0.7261,960,448,976,463
358,0,0.3701,965,438,984,456
359,0,0.2253,971,428,989,447
360,0,0.4885,979,421,997,442
361,0,0.4062,982,415,1000,433
362,0,0.3530,992,406,1010,427
363,0,0.7070,1005,400,1022,418
364,0,0.7876,1010,397,1028,417
365,0,0.7578,1017,394,1033,412
367,0,0.7563,1030,392,1048,411
368,0,0.7817,1037,393,1055,410
369,0,0.7817,1037,393,1055,411
370,0,0.4514,1043,392,1062,411
371,0,0.6792,1052,396,1070,414
372,0,0.8081,1057,397,1075,417
373,0,0.7466,1065,402,1083,421
376,0,0.7578,1087,417,1105,436
377,0,0.6670,1090,424,1108,445
379,0,0.6426,1107,444,1122,458
381,0,0.1394,1121,463,1140,481
382,0,0.7188,1136,488,1154,507
383,0,0.5088,1139,495,1157,515
384,0,0.3115,1144,503,1165,524
385,0,0.6299,1148,512,1167,531
386,0,0.6514,1149,517,1169,538
387,0,0.4990,1149,525,1169,546
388,0,0.4990,1149,525,1169,546
389,0,0.1324,1152,534,1170,552
390,0,0.4834,1154,538,1169,553
391,0,0.1294,1155,541,1169,553
401,0,0.1818,1180,621,1195,636
408,0,0.2917,1132,520,1150,538
410,0,0.3896,1127,517,1145,534
411,0,0.4622,1122,516,1142,534
412,0,0.2903,1122,517,1140,534
421,0,0.5264,1081,566,1096,584
422,0,0.5303,1075,573,1093,593
424,0,0.4622,1066,595,1084,613
425,0,0.5068,1065,607,1082,625
426,0,0.4863,1065,607,1082,625
427,0,0.7930,1060,619,1078,637
428,0,0.7188,1055,631,1073,649
429,0,0.7373,1052,643,1071,661
430,0,0.5962,1051,636,1069,654
434,0,0.2976,1042,597,1059,614
435,0,0.7417,1041,591,1058,608
436,0,0.7231,1039,584,1057,602
438,0,0.7637,1037,572,1056,591
439,0,0.5981,1036,565,1051,583
440,0,0.1031,1031,564,1047,582
441,0,0.2910,1031,562,1047,580
442,0,0.3337,1029,561,1047,580
443,0,0.4639,1028,561,1046,579
444,0,0.3813,1027,560,1045,579
445,0,0.3813,1027,560,1045,579
449,0,0.1298,1018,574,1035,595
450,0,0.2140,1018,583,1033,601
451,0,0.6528,1015,588,1033,606
452,0,0.4629,1015,595,1029,610
454,0,0.1727,1013,612,1026,626
455,0,0.5830,1011,621,1024,635
456,0,0.1075,815,665,834,684
457,0,0.7280,1009,639,1026,657
458,0,0.2302,1006,622,1024,640
459,0,0.3015,1003,617,1021,633
460,0,0.1013,1002,609,1020,627
463,0,0.1447,995,597,1014,615
464,0,0.1442,995,597,1014,615
465,0,0.4456,995,594,1011,611
466,0,0.4785,995,592,1010,609
468,0,0.1180,1492,429,1513,447
469,0,0.1201,1491,429,1514,447
470,0,0.1067,1491,429,1514,447
471,0,0.1063,1491,429,1514,447
472,0,0.1226,1491,429,1514,447
473,0,0.1172,1491,429,1514,447
474,0,0.1196,1491,429,1514,447
475,0,0.1151,1491,429,1514,447
478,0,0.1399,1491,429,1514,447
479,0,0.5981,1039,520,1054,538
480,0,0.5488,1037,515,1056,534
481,0,0.2903,1040,513,1059,532
482,0,0.1086,1041,511,1061,532
485,0,0.4622,1053,502,1070,520
486,0,0.6846,1055,501,1071,516
487,0,0.6890,1058,502,1074,517
488,0,0.7261,1060,500,1075,516
489,0,0.5947,1063,501,1078,518
490,0,0.1624,1065,501,1082,521
493,0,0.1520,1074,513,1093,533
498,0,0.2615,1396,562,1411,577
499,0,0.2081,1397,571,1413,589
507,0,0.4331,1104,619,1118,634
509,0,0.3557,1107,598,1121,613
510,0,0.7446,1108,592,1123,607
511,0,0.6460,1111,579,1129,602
512,0,0.2357,1113,574,1131,595
513,0,0.3469,1114,573,1132,590
568,0,0.5010,1161,566,1184,588
569,0,0.3479,1168,559,1189,580
590,0,0.1987,1173,557,1190,576
592,0,0.1168,1585,565,1600,580
593,0,0.5303,1585,565,1600,580
594,0,0.5581,1586,566,1599,579
595,0,0.5107,1586,565,1599,579
596,0,0.3821,1586,565,1599,579
597,0,0.2983,1587,565,1602,579
598,0,0.2878,1587,565,1602,579
599,0,0.2590,1587,566,1602,579
600,0,0.1859,1588,566,1603,579
601,0,0.1151,1588,566,1603,579
602,0,0.1113,1588,566,1603,579
603,0,0.1877,1587,565,1604,579
604,0,0.1545,1587,565,1604,579
605,0,0.1353,1588,565,1603,580
606,0,0.1404,1588,567,1603,580
607,0,0.1005,1590,567,1605,581
610,0,0.1281,1198,621,1213,636
611,0,0.2068,1199,621,1214,636
612,0,0.1070,1200,622,1215,637
628,0,0.1212,1168,561,1189,581
629,0,0.4456,1162,589,1180,607
633,0,0.4399,1162,593,1179,609
634,0,0.2620,1162,586,1177,601
635,0,0.1147,1162,574,1179,592
636,0,0.1075,1162,574,1179,592
637,0,0.6440,1162,569,1177,585
638,0,0.1630,1162,561,1177,576
639,0,0.1561,1588,568,1603,583
640,0,0.2013,1588,568,1603,582
641,0,0.3354,1584,567,1601,581
642,0,0.2039,1584,567,1601,582
643,0,0.3066,1585,567,1600,581
644,0,0.3215,1583,565,1596,580
645,0,0.3564,1584,566,1599,581
646,0,0.1871,1581,567,1598,582
685,0,0.1113,1177,559,1194,577
688,0,0.1603,1177,560,1192,576
690,0,0.1587,1177,559,1192,577
691,0,0.1592,1177,559,1194,577
692,0,0.1277,1177,559,1192,577
693,0,0.1277,1177,559,1192,577
694,0,0.1733,1178,559,1194,577
695,0,0.1545,1177,560,1194,576
696,0,0.1471,1178,560,1194,576
697,0,0.1324,1178,560,1194,576
698,0,0.1113,1178,560,1194,576
699,0,0.1104,1178,559,1194,577
700,0,0.1121,1178,559,1194,577
702,0,0.1108,1178,559,1194,577
703,0,0.1113,1178,559,1194,577
704,0,0.1376,1178,559,1194,577
705,0,0.1230,1178,559,1194,577
706,0,0.1212,1178,559,1194,577
707,0,0.1100,1178,559,1194,577
708,0,0.1307,1178,559,1194,577
709,0,0.1705,1179,559,1194,577
710,0,0.1576,1178,559,1194,577
711,0,0.1646,1179,559,1194,577
712,0,0.1422,1179,559,1194,577
713,0,0.1422,1179,559,1194,577
714,0,0.1389,1179,559,1194,577
715,0,0.1272,1179,559,1194,577
716,0,0.1192,1178,559,1194,577
717,0,0.1461,1179,560,1194,576
718,0,0.1339,1179,560,1194,576
719,0,0.1343,1179,560,1194,576
720,0,0.1608,1179,560,1193,576
721,0,0.1427,1179,560,1193,576
722,0,0.1376,1179,560,1193,576
723,0,0.1404,1179,560,1194,576
724,0,0.1442,1179,560,1193,576
725,0,0.1251,1179,560,1193,576
726,0,0.1168,1179,560,1193,576
727,0,0.1836,1179,560,1193,576
728,0,0.1160,1179,560,1193,576
729,0,0.1772,1180,560,1194,576
730,0,0.1545,1180,560,1195,576
731,0,0.1613,1180,560,1195,576
732,0,0.1619,1180,560,1195,576
733,0,0.1316,1181,560,1194,576
735,0,0.1353,1181,560,1194,576
736,0,0.1180,1180,560,1195,576
737,0,0.1136,1181,560,1194,576
739,0,0.1168,1180,561,1194,576
740,0,0.1144,1180,561,1194,576
741,0,0.1086,1180,561,1194,576
743,0,0.1172,1182,560,1195,576
744,0,0.1063,1182,560,1195,576
745,0,0.1192,1182,560,1195,576
746,0,0.1324,1182,560,1195,576
747,0,0.1100,1182,560,1195,576
748,0,0.1201,1182,560,1195,576
749,0,0.1140,1182,560,1195,576
750,0,0.1140,1181,560,1194,576
751,0,0.1140,1181,560,1194,576
752,0,0.1871,1182,561,1195,576
753,0,0.1968,1182,561,1195,576
754,0,0.2290,1182,560,1195,576
755,0,0.2194,1182,561,1196,576
756,0,0.1884,1182,560,1196,576
757,0,0.1727,1182,560,1196,576
758,0,0.2025,1182,561,1196,576
759,0,0.1908,1182,561,1196,576
760,0,0.2323,1182,560,1196,576
761,0,0.1561,1182,560,1195,576
762,0,0.1409,1182,560,1195,576
763,0,0.1384,1182,560,1195,576
764,0,0.1608,1182,560,1195,576
765,0,0.2161,1182,561,1195,576
766,0,0.2095,1182,561,1196,576
767,0,0.1802,1182,560,1196,576
768,0,0.1987,1182,561,1196,576
769,0,0.1949,1182,561,1196,576
770,0,0.1949,1182,561,1196,576
771,0,0.1943,1182,560,1196,576
772,0,0.1938,1182,560,1196,576
773,0,0.2140,1182,561,1195,576
774,0,0.2173,1182,560,1195,576
775,0,0.2379,1182,560,1195,576
776,0,0.1847,1182,560,1195,576
777,0,0.1700,1182,560,1195,576
778,0,0.2025,1180,560,1195,576
779,0,0.1913,1182,560,1196,576
780,0,0.1943,1182,560,1196,576
781,0,0.1884,1182,560,1196,576
782,0,0.1825,1182,560,1196,576
783,0,0.1913,1182,560,1196,576
784,0,0.1818,1182,560,1195,576
785,0,0.1733,1180,560,1195,576
786,0,0.1700,1180,560,1195,576
787,0,0.1093,1180,560,1195,576
788,0,0.1125,1180,560,1195,576
789,0,0.1121,1180,560,1195,576
790,0,0.1160,1180,560,1195,576
791,0,0.1760,1180,560,1195,576
792,0,0.1437,1182,560,1195,576
793,0,0.1230,1182,560,1195,576
794,0,0.1168,1182,560,1195,576
795,0,0.1255,1182,560,1196,576
796,0,0.1201,1180,560,1195,576
797,0,0.1063,1180,560,1195,576
799,0,0.1005,1182,560,1196,576
806,0,0.1226,1182,560,1196,576
807,0,0.1381,1182,560,1197,576
808,0,0.1376,1182,560,1197,576
809,0,0.1356,1182,560,1196,576
810,0,0.1721,1180,560,1195,576
811,0,0.1031,1180,559,1195,577
816,0,0.2166,991,567,1008,585
817,0,0.3906,991,565,1009,583
825,0,0.1412,1170,591,1189,609
829,0,0.3330,1174,569,1189,585
830,0,0.3320,1174,562,1189,577
834,0,0.1187,1175,550,1190,565
835,0,0.1180,1177,551,1192,567
842,0,0.1180,1178,559,1194,577
843,0,0.2095,1177,560,1194,576
844,0,0.2532,1177,560,1194,576
845,0,0.2568,1176,560,1193,576
846,0,0.2568,1176,559,1193,577
847,0,0.1993,1176,559,1192,577
848,0,0.1067,1174,558,1192,576
855,0,0.1766,1171,588,1189,608
858,0,0.3174,1174,595,1189,610
859,0,0.5137,1174,587,1189,603
861,0,0.5059,1176,573,1189,586
862,0,0.4646,1176,562,1190,577
863,0,0.1093,1175,559,1191,577
937,0,0.1132,1167,564,1188,584
939,0,0.1866,1166,585,1188,607
944,0,0.3276,1162,597,1180,614
945,0,0.6758,1162,590,1180,608
947,0,0.4482,1162,573,1179,590
948,0,0.6152,1162,568,1179,585
949,0,0.2408,1162,561,1180,578
952,0,0.2517,1231,589,1246,604
962,0,0.1818,1173,559,1190,577
963,0,0.2089,1173,559,1190,577
964,0,0.1520,1173,561,1190,577
965,0,0.1890,1175,561,1191,577
966,0,0.4170,1175,562,1191,577
967,0,0.3354,1175,560,1191,576
968,0,0.4863,1177,561,1194,577
969,0,0.5273,1180,562,1197,577
970,0,0.2637,1183,560,1198,576
971,0,0.4038,1185,559,1202,577
972,0,0.1608,1186,559,1204,577
974,0,0.1307,1194,559,1213,577
975,0,0.2769,1197,558,1215,576
976,0,0.1842,1198,558,1216,576
977,0,0.1049,1201,559,1219,577
978,0,0.2861,1204,560,1222,576
979,0,0.5029,1204,561,1222,577
980,0,0.5010,1204,561,1222,577
981,0,0.5640,1206,561,1223,577
982,0,0.6978,1206,561,1223,578
983,0,0.7417,1206,562,1222,580
984,0,0.7534,1207,564,1222,580
985,0,0.7666,1205,565,1221,582
986,0,0.7715,1205,566,1221,582
987,0,0.7715,1205,568,1221,583
988,0,0.7666,1204,569,1219,584
989,0,0.7554,1202,569,1218,585
990,0,0.5439,1198,571,1213,586
991,0,0.2089,1195,571,1213,589
993,0,0.1796,1187,573,1205,590
994,0,0.7158,1185,573,1201,589
995,0,0.7769,1182,571,1199,589
996,0,0.7646,1179,570,1196,586
997,0,0.7246,1174,568,1192,585
998,0,0.5962,1173,563,1190,579
999,0,0.5962,1173,563,1190,579
1002,0,0.2839,624,582,646,602
1003,0,0.4875,1159,538,1174,553
1005,0,0.6909,1154,522,1173,542
1006,0,0.6226,1154,515,1173,534
1008,0,0.6528,1154,500,1170,516
1009,0,0.3149,1152,488,1169,504
1011,0,0.4680,1150,478,1168,495
1012,0,0.6367,1150,476,1168,492
1013,0,0.6479,1149,472,1166,487
1014,0,0.6387,1149,469,1167,486
1015,0,0.5776,1149,469,1166,484
1016,0,0.4038,1147,467,1165,483
1017,0,0.3125,1147,466,1165,481
1018,0,0.3125,1147,466,1165,481
1019,0,0.1481,1146,466,1164,481
1029,0,0.3574,1113,466,1127,481
1031,0,0.6152,1081,442,1099,457
1033,0,0.5098,1054,420,1069,437
1034,0,0.2385,1037,407,1053,426
1035,0,0.6963,1018,398,1036,417
1036,0,0.2443,1004,389,1022,408
1037,0,0.2443,1004,389,1022,408
1038,0,0.7646,984,378,1001,396
1039,0,0.6636,966,367,984,385
1040,0,0.2510,946,358,967,379
1041,0,0.5640,928,350,949,369
1042,0,0.7158,912,345,930,362
1044,0,0.7759,870,333,890,351
1045,0,0.2227,851,330,873,348
1046,0,0.5737,834,326,854,346
1047,0,0.7202,788,321,810,339
1048,0,0.6890,767,317,789,338
1049,0,0.6562,744,319,767,338
1050,0,0.5566,720,318,742,338
1051,0,0.6943,695,317,720,339
1052,0,0.7432,671,321,699,344
1053,0,0.7188,650,321,671,342
1054,0,0.5176,621,327,641,348
1055,0,0.7417,595,333,620,353
1056,0,0.7417,596,333,620,353
1057,0,0.4622,568,337,594,361
1058,0,0.7070,543,345,568,368
1059,0,0.7417,512,353,539,377
1060,0,0.7358,483,362,513,387
1061,0,0.7944,452,372,484,399
1061,0,0.1155,1203,565,1215,577
1062,0,0.7905,420,385,455,415
1063,0,0.7358,390,400,426,430
1065,0,0.1013,465,486,484,505
1066,0,0.2194,261,472,302,511
1069,0,0.3962,224,451,257,489
1073,0,0.6299,283,311,309,339
1074,0,0.7969,295,278,322,307
1075,0,0.7969,295,278,322,307
1076,0,0.8115,310,242,340,279
1077,0,0.5508,326,216,351,243
1078,0,0.7930,337,181,364,216
1079,0,0.7119,348,155,376,188
1080,0,0.7520,364,128,394,162
1081,0,0.7944,375,100,408,135
1082,0,0.7593,390,80,419,111
1082,0,0.1541,1196,620,1212,636
1083,0,0.7705,408,55,434,84
1083,0,0.1172,1197,621,1213,638
1084,0,0.5791,418,31,445,62
1085,0,0.6890,446,0,474,27
1086,0,0.7373,463,0,484,13
1087,0,0.1545,765,701,791,729
1090,0,0.2815,1010,591,1029,609
1114,0,0.7041,819,0,845,16
1115,0,0.8184,825,0,860,36
1115,0,0.1962,1003,533,1024,554
1116,0,0.7686,840,18,869,52
1117,0,0.6406,852,36,878,71
1118,0,0.7593,864,67,897,103
1119,0,0.7358,880,90,907,132
1120,0,0.7891,889,110,919,150
1121,0,0.7715,901,141,934,177
1122,0,0.8081,915,165,944,204
1123,0,0.7788,940,228,970,263
1124,0,0.6792,955,257,979,299
1125,0,0.7563,963,285,989,329
1126,0,0.7373,976,324,1003,367
1127,0,0.7476,990,357,1014,398
1128,0,0.7119,999,396,1025,431
1129,0,0.7852,1011,437,1038,468
1130,0,0.5205,1023,475,1048,505
1131,0,0.6846,1023,481,1052,511
1132,0,0.6846,1023,480,1052,510
1133,0,0.6206,1022,451,1046,480
1134,0,0.7876,1012,416,1039,450
1135,0,0.8115,1006,391,1033,426
1136,0,0.8164,997,364,1026,397
1137,0,0.8291,991,338,1018,371
1138,0,0.8511,982,313,1012,348
1139,0,0.8462,976,291,1003,323
1140,0,0.7993,968,269,996,303
1141,0,0.8032,961,252,988,284
1142,0,0.7173,948,218,975,248
1143,0,0.8462,940,204,967,233
1144,0,0.7744,934,190,961,220
1145,0,0.8442,926,178,956,208
1146,0,0.7666,918,167,950,199
1147,0,0.8589,913,158,943,189
1148,0,0.8477,907,151,936,180
1149,0,0.8232,901,144,931,175
1150,0,0.7563,894,139,924,169
1151,0,0.7563,894,139,924,169
1152,0,0.8018,887,136,915,163
1153,0,0.8184,881,133,909,159
1154,0,0.7607,875,133,903,158
1155,0,0.8442,870,132,898,158
1156,0,0.8325,864,135,891,158
1157,0,0.8345,857,135,885,160
1158,0,0.7476,851,139,879,167
1159,0,0.7920,844,145,874,177
1160,0,0.8125,839,151,867,181
1161,0,0.6479,826,168,855,200
1162,0,0.8257,821,178,849,207
1163,0,0.7520,815,191,840,219
1164,0,0.8096,811,204,835,231
1165,0,0.7920,804,218,833,249
1166,0,0.8042,800,231,827,260
1167,0,0.8496,794,246,822,277
1168,0,0.6909,789,262,815,288
1169,0,0.8311,784,281,808,308
1170,0,0.8311,784,281,808,308
1171,0,0.6890,777,300,803,327
1172,0,0.8354,771,320,797,350
1173,0,0.8081,766,341,792,375
1174,0,0.8071,763,367,787,397
1175,0,0.7817,761,392,783,416
1176,0,0.7734,775,390,802,416
1177,0,0.5195,798,382,824,406
1178,0,0.8096,821,379,846,403
1179,0,0.8291,838,374,865,399
1180,0,0.7993,877,368,904,393
1181,0,0.7139,897,368,923,393
1182,0,0.8140,917,370,941,394
1183,0,0.8354,933,373,959,397
1184,0,0.7759,951,375,975,398
1185,0,0.8008,967,380,991,402
1186,0,0.1980,987,386,1009,408
1187,0,0.7920,1003,393,1024,414
1188,0,0.7827,1016,399,1041,423
1189,0,0.6528,1030,406,1054,430
1190,0,0.6562,1030,406,1054,430
1191,0,0.5029,1045,415,1069,438
